id,user_id,license_no,national_id,license_expiry,date_of_birth,kyc_status,status,demerit_points,created_at,updated_at
9220006a-8943-4fed-97de-0804c0078e1e,48675819-3ab3-4322-aadb-b1b58038ca7a,PP-7000,01090000000,2029-12-31,1980-01-15,approved,active,0,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
844d16c0-24c7-45b6-b334-29b1c2118743,de75014b-ec8e-446b-a1a1-1c66c36db029,PP-7001,01090000001,2029-12-31,1981-01-15,approved,active,0,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
c9cd539a-3578-4c6e-8612-7523587e6899,efe7849d-38d4-4ed2-88d2-9f6c4ab36a04,PP-7002,01090000002,2029-12-31,1982-01-15,approved,active,6,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
bbf384f9-c063-4696-815d-1f1422346df9,c42c9796-d122-4372-8a5a-240adf88dd2a,PP-7003,01090000003,2029-12-31,1983-01-15,approved,active,0,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
186d30a8-6535-410c-bacc-a83a31f7434c,11f9c0b2-16c0-41f0-baec-df905285c938,PP-7004,01090000004,2029-12-31,1984-01-15,approved,active,4,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
9348cb7c-72c4-4462-ab71-93d0d0243c35,f4379a50-8a5e-41c7-8f01-aabdd0cfd366,PP-7005,01090000005,2029-12-31,1985-01-15,approved,active,0,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
001a5ba2-c125-4647-9059-827c3f4b213f,5ac529c6-f77b-4ac8-adbf-5cb7d0ad12d5,PP-7006,01090000006,2029-12-31,1986-01-15,approved,active,2,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
9ae78188-28b7-4e0d-ae0c-f438f094818f,17d24adf-b841-4904-bc1a-e6e9e6d8970d,PP-7007,01090000007,2029-12-31,1987-01-15,pending,active,6,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
add10db0-7fcc-4d48-b8e7-5997e17b3871,73167a17-d159-40a8-9c56-51368f7df173,PP-7008,01090000008,2029-12-31,1988-01-15,approved,active,1,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
d21fb78b-c5cf-43dd-b14b-b4d14018870e,855a6fd5-b341-47be-8920-24093b3b95e1,PP-7009,01090000009,2029-12-31,1989-01-15,approved,active,0,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
0dcbe57d-a4c7-4f89-95bc-d692b07480b8,2fe2cdd4-9a9d-4f39-82f5-0a97b524946b,PP-7010,01090000010,2029-12-31,1990-01-15,approved,active,3,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
9e2779c1-bf6b-4aa4-9b00-8b0e542b51e9,6c14432f-4057-4097-852f-cca97e13d887,PP-7011,01090000011,2029-12-31,1991-01-15,approved,active,5,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
bafbe02d-0082-4f8a-9bf4-7ce70bc275a3,de829b05-d6b2-4912-ae56-1288e161b836,PP-7012,01090000012,2029-12-31,1992-01-15,approved,active,2,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
a0575093-6221-4f26-9ced-5bb56126496b,c4f92db9-eebc-4481-87ac-2e27a485c4ce,PP-7013,01090000013,2029-12-31,1993-01-15,pending,active,6,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
d3b35018-546a-441f-bad6-72b2a749607e,27df8364-4704-4a08-a834-a301b3692b49,PP-7014,01090000014,2029-12-31,1994-01-15,approved,active,5,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
fa488835-93e7-453b-9838-befc7fcde69c,13a32442-3386-40d5-9e23-1304a85aaff1,PP-7015,01090000015,2029-12-31,1995-01-15,approved,active,6,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
e13127e2-ce1e-4891-a904-72826413bf2d,762d431d-5ad1-44ad-8ccd-18415c25d632,PP-7016,01090000016,2029-12-31,1996-01-15,approved,active,6,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
eb634e26-fde2-4737-8f57-53968143ca3b,f3b19f88-3220-4d92-8135-ccbf071e7322,PP-7017,01090000017,2029-12-31,1997-01-15,approved,active,4,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
56c14bf7-e8db-4e50-8378-686fed9efe80,b0163d17-b047-485f-b701-60cf1213d8a2,PP-7018,01090000018,2029-12-31,1998-01-15,approved,active,5,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
f6c6e86e-8ccd-4f4d-8203-9623628f7805,3f990a98-e1c1-45ca-b98e-3de76b3025bf,PP-7019,01090000019,2029-12-31,1999-01-15,approved,active,2,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
8186999f-bcdb-433d-b0e3-54f6e8f747e1,213c48ec-a0f2-44e8-88bc-a043d8165004,PP-7020,01090000020,2029-12-31,1980-01-15,approved,active,1,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
12e602b5-78f1-41fb-a357-65b92f9decc7,79014366-f2cc-42a9-a9da-fa30c51b383e,PP-7021,01090000021,2029-12-31,1981-01-15,approved,active,3,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
c82994e6-332e-418b-b1d3-ee064ca45dcd,f783f95c-89e4-4950-b0fe-86e60049a354,PP-7022,01090000022,2029-12-31,1982-01-15,pending,active,3,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
acd33c07-2306-4f4f-b71a-6ae96f0e0d85,7ed2c4ac-f9c1-4a8e-b52e-f38f4545334e,PP-7023,01090000023,2029-12-31,1983-01-15,approved,active,1,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
