id,email,password,full_name,role,phone,address,license_no,auth_provider,email_verified,is_active,is_staff,is_superuser,date_joined,created_at,updated_at
48675819-3ab3-4322-aadb-b1b58038ca7a,sok.dara@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Sok Dara,driver,012100000,"Street 178 / Norodom, Phnom Penh",PP-7000,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
de75014b-ec8e-446b-a1a1-1c66c36db029,chan.vibol@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Chan Vibol,driver,012100001,"Monivong Bridge / C1, Phnom Penh",PP-7001,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
efe7849d-38d4-4ed2-88d2-9f6c4ab36a04,lim.sopheak@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Lim Sopheak,driver,012100002,"Street 240 / Russian Boulevard, Phnom Penh",PP-7002,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
c42c9796-d122-4372-8a5a-240adf88dd2a,nuth.rithy@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Nuth Rithy,driver,012100003,"C2 / NR1, Phnom Penh",PP-7003,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
11f9c0b2-16c0-41f0-baec-df905285c938,pich.sovan@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Pich Sovan,driver,012100004,"Pet Lok Sang Junction, Phnom Penh",PP-7004,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
f4379a50-8a5e-41c7-8f01-aabdd0cfd366,kim.vireak@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Kim Vireak,driver,012100005,"Monireth / Charles de Gaulle, Phnom Penh",PP-7005,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
5ac529c6-f77b-4ac8-adbf-5cb7d0ad12d5,heng.piseth@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Heng Piseth,driver,012100006,"Norodom / Street 240, Phnom Penh",PP-7006,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
17d24adf-b841-4904-bc1a-e6e9e6d8970d,chea.bopha@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Chea Bopha,driver,012100007,"C3 / NR6, Phnom Penh",PP-7007,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
73167a17-d159-40a8-9c56-51368f7df173,ouk.vannak@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Ouk Vannak,driver,012100008,"Street 221 / Russian Boulevard, Phnom Penh",PP-7008,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
855a6fd5-b341-47be-8920-24093b3b95e1,men.sokchea@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Men Sokchea,driver,012100009,"Chaom Chao Road / Hanoi Road, Phnom Penh",PP-7009,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
2fe2cdd4-9a9d-4f39-82f5-0a97b524946b,tep.ravy@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Tep Ravy,driver,012100010,"Monivong Bridge / C1, Phnom Penh",PP-7010,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
6c14432f-4057-4097-852f-cca97e13d887,bun.sothea@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Bun Sothea,driver,012100011,"Russei Kaev Bypass / NR5, Phnom Penh",PP-7011,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
de829b05-d6b2-4912-ae56-1288e161b836,chhim.veasna@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Chhim Veasna,driver,012100012,"Mao Tse Toung / Monivong, Phnom Penh",PP-7012,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
c4f92db9-eebc-4481-87ac-2e27a485c4ce,khuon.dara@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Khuon Dara,driver,012100013,"Street 271 / Monivong, Phnom Penh",PP-7013,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
27df8364-4704-4a08-a834-a301b3692b49,yim.pisal@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Yim Pisal,driver,012100014,"Russei Kaev Bypass / NR5, Phnom Penh",PP-7014,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
13a32442-3386-40d5-9e23-1304a85aaff1,pov.sreynich@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Pov Sreynich,driver,012100015,"Chroy Changvar Bridge / River Bank Road, Phnom Penh",PP-7015,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
762d431d-5ad1-44ad-8ccd-18415c25d632,rann.sophea@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Rann Sophea,driver,012100016,"Monireth / Mao Tse Toung, Phnom Penh",PP-7016,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
f3b19f88-3220-4d92-8135-ccbf071e7322,choun.sambath@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Choun Sambath,driver,012100017,"Monivong / Street 214, Phnom Penh",PP-7017,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
b0163d17-b047-485f-b701-60cf1213d8a2,sar.chanthy@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Sar Chanthy,driver,012100018,"Russian / Monivong, Phnom Penh",PP-7018,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
3f990a98-e1c1-45ca-b98e-3de76b3025bf,keo.sophal@camtraffic.gov.kh,pbkdf2_sha256$260000$demo$not-a-real-hash,Keo Sophal,driver,012100019,"NR1 / Phnom Penh East Gate, Phnom Penh",PP-7019,email,True,True,False,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
