full_name,email,phone,plate_number
Admin Demo 016,admin016@camtraffic.demo,010200015,
Admin Demo 017,admin017@camtraffic.demo,010200016,
Admin Demo 018,admin018@camtraffic.demo,010200017,
Admin Demo 019,admin019@camtraffic.demo,010200018,
Admin Demo 020,admin020@camtraffic.demo,010200019,
Chann Kosal,chann.kosal25@gmail.com,015-154180,KC 8B-2025
Chann Kosal,chann.kosal57@outlook.com,092-980768,KT 4K-2057
Chann Kosal,chann.kosal89@gmail.com,096-337635,PS 9T-2089
Chea Samnang,chea.samnang@traffic.gov.kh,012-163335,
Chea Sokha,chea.sokha1@outlook.com,096-966918,KM 2B-2001
Chea Sokha,chea.sokha33@outlook.com,012-621421,BT 7K-2033
Chea Sokha,chea.sokha65@outlook.com,092-784907,KC 3T-2065
Chea Sokha,chea.sokha97@gmail.com,010-851757,KT 8B-2097
Dara Chan,officer@camtraffic.demo,+855 12 111 222,
Dara Chan,officer@camtraffic.gov.kh,+855 12 111 222,
Driver Demo 001,driver001@camtraffic.demo,012100000,PP-3000
Driver Demo 001,driver001@camtraffic.demo,012100000,PP-3050
Driver Demo 002,driver002@camtraffic.demo,012100001,PP-3001
Driver Demo 002,driver002@camtraffic.demo,012100001,PP-3051
Driver Demo 003,driver003@camtraffic.demo,012100002,PP-3002
Driver Demo 003,driver003@camtraffic.demo,012100002,PP-3052
Driver Demo 004,driver004@camtraffic.demo,012100003,PP-3003
Driver Demo 004,driver004@camtraffic.demo,012100003,PP-3053
Driver Demo 005,driver005@camtraffic.demo,012100004,PP-3004
Driver Demo 005,driver005@camtraffic.demo,012100004,PP-3054
Driver Demo 006,driver006@camtraffic.demo,012100005,PP-3005
Driver Demo 006,driver006@camtraffic.demo,012100005,PP-3055
Driver Demo 007,driver007@camtraffic.demo,012100006,PP-3006
Driver Demo 007,driver007@camtraffic.demo,012100006,PP-3056
Driver Demo 008,driver008@camtraffic.demo,012100007,PP-3007
Driver Demo 008,driver008@camtraffic.demo,012100007,PP-3057
Driver Demo 009,driver009@camtraffic.demo,012100008,PP-3008
Driver Demo 009,driver009@camtraffic.demo,012100008,PP-3058
Driver Demo 010,driver010@camtraffic.demo,012100009,PP-3009
Driver Demo 010,driver010@camtraffic.demo,012100009,PP-3059
Driver Demo 011,driver011@camtraffic.demo,012100010,PP-3010
Driver Demo 011,driver011@camtraffic.demo,012100010,PP-3060
Driver Demo 012,driver012@camtraffic.demo,012100011,PP-3011
Driver Demo 012,driver012@camtraffic.demo,012100011,PP-3061
Driver Demo 013,driver013@camtraffic.demo,012100012,PP-3012
Driver Demo 013,driver013@camtraffic.demo,012100012,PP-3062
Driver Demo 014,driver014@camtraffic.demo,012100013,PP-3013
Driver Demo 014,driver014@camtraffic.demo,012100013,PP-3063
Driver Demo 015,driver015@camtraffic.demo,012100014,PP-3014
Driver Demo 015,driver015@camtraffic.demo,012100014,PP-3064
Driver Demo 016,driver016@camtraffic.demo,012100015,PP-3015
Driver Demo 016,driver016@camtraffic.demo,012100015,PP-3065
Driver Demo 017,driver017@camtraffic.demo,012100016,PP-3016
Driver Demo 017,driver017@camtraffic.demo,012100016,PP-3066
Driver Demo 018,driver018@camtraffic.demo,012100017,PP-3017
Driver Demo 018,driver018@camtraffic.demo,012100017,PP-3067
